============================================================
EXPERIMENT START
[1767091077.286] MOVEMENT
[1767091077.318] MOVEMENT
[1767091077.349] MOVEMENT
[1767091077.382] MOVEMENT
[1767091077.414] MOVEMENT
[1767091077.462] MOVEMENT
[1767091077.495] MOVEMENT
[1767091077.527] MOVEMENT
[1767091077.558] MOVEMENT
[1767091077.590] MOVEMENT
[1767091077.622] MOVEMENT
[1767091077.654] MOVEMENT
[1767091077.686] MOVEMENT
[1767091077.718] MOVEMENT
[1767091077.750] MOVEMENT
[1767091077.782] MOVEMENT
[1767091077.830] MOVEMENT
[1767091077.862] MOVEMENT
[1767091077.894] MOVEMENT
[1767091077.925] MOVEMENT
[1767091077.956] MOVEMENT
[1767091080.224] STIMULATION type=visual+audio
[1767091090.256] STIMULATION type=visual+audio
[1767091092.599] MOVEMENT
[1767091092.599] REACTION movement_within_response_window
[1767091092.631] MOVEMENT
[1767091092.662] MOVEMENT
[1767091092.695] MOVEMENT
[1767091092.727] MOVEMENT
[1767091092.774] MOVEMENT
[1767091092.806] MOVEMENT
[1767091092.838] MOVEMENT
[1767091092.870] MOVEMENT
[1767091092.902] MOVEMENT
[1767091092.934] MOVEMENT
[1767091092.967] MOVEMENT
[1767091092.998] MOVEMENT
[1767091093.030] MOVEMENT
[1767091093.062] MOVEMENT
[1767091093.094] MOVEMENT
[1767091093.126] MOVEMENT
[1767091095.367] MOVEMENT
[1767091095.414] MOVEMENT
[1767091095.445] MOVEMENT
[1767091095.477] MOVEMENT
[1767091095.511] MOVEMENT
[1767091095.542] MOVEMENT
[1767091095.574] MOVEMENT
[1767091095.607] MOVEMENT
[1767091095.638] MOVEMENT
[1767091095.671] MOVEMENT
[1767091095.703] MOVEMENT
[1767091095.732] MOVEMENT
[1767091095.783] MOVEMENT
[1767091095.815] MOVEMENT
[1767091095.847] MOVEMENT
[1767091095.879] MOVEMENT
[1767091095.912] MOVEMENT
[1767091095.942] MOVEMENT
[1767091095.974] MOVEMENT
[1767091096.006] MOVEMENT
[1767091096.039] MOVEMENT
[1767091096.071] MOVEMENT
[1767091096.103] MOVEMENT
[1767091096.150] MOVEMENT
[1767091096.182] MOVEMENT
[1767091096.214] MOVEMENT
[1767091096.246] MOVEMENT
[1767091096.277] MOVEMENT
[1767091096.311] MOVEMENT
[1767091096.343] MOVEMENT
[1767091096.374] MOVEMENT
[1767091096.407] MOVEMENT
[1767091096.438] MOVEMENT
[1767091096.471] MOVEMENT
[1767091096.504] MOVEMENT
[1767091096.550] MOVEMENT
[1767091096.581] MOVEMENT
[1767091096.615] MOVEMENT
[1767091096.647] MOVEMENT
[1767091096.678] MOVEMENT
[1767091096.712] MOVEMENT
[1767091096.742] MOVEMENT
[1767091096.774] MOVEMENT
[1767091096.807] MOVEMENT
[1767091096.838] MOVEMENT
[1767091096.870] MOVEMENT
[1767091096.919] MOVEMENT
